customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
3851-MHRJO,2025-01-18,Paid,2025-02-17,Premium,Monthly,2026-01-16,Poor Support,24.09,1383.0,54,1,Vikram,India,Maharashtra,Male,1977-02-14,2024-12-13,N,81.0,2.0
3712-IZIBJ,2025-11-04,Paid,2025-12-04,Premium,Monthly,,,22.57,1177.0,56,0,Vivaan,Nepal,Kathmandu,Female,2010-07-09,,,,
5332-CHENS,2025-10-12,Paid,2025-11-11,Basic,Monthly,,,6.24,600.0,40,0,Neha,India,Meghalaya,Female,2001-11-29,2026-05-25,Y,12.0,1.0
9684-KWFUO,2021-02-04,Refferal,2021-03-06,Basic,Monthly,2023-08-24,Poor Support,6.04,380.0,77,1,Rahul,India,Meghalaya,Male,1999-02-18,2026-06-05,N,85.0,3.0
7586-TNGNV,2025-05-28,Organic,2025-06-27,Standard,Monthly,,,11.96,554.0,31,0,Sneha,India,Rajasthan,Female,1984-11-02,2025-11-15,N,78.0,1.0
9706-YEPCR,2025-04-25,Referral,2025-05-25,Premium,Monthly,2025-11-01,Service Quality,24.97,1565.0,61,1,Priya,India,West Bengal,Male,2008-08-25,2024-09-14,N,47.0,1.0
9922-BRYWK,2025-11-07,Organic,2025-12-07,Standard,Monthly,,,14.79,460.0,73,0,Ishita,India,Kerala,Female,2001-09-27,2024-03-29,Y,43.0,4.0
1060-YXPZA,2021-03-21,Paid,2021-04-20,Basic,Monthly,,,4.99,498.0,82,0,Riya,India,Tamil Nadu,Male,1987-06-12,2026-06-20,N,27.0,5.0
6174-BYRXO,2024-01-06,Paid,2025-01-05,Basic,Annual,,,8.18,505.0,75,0,Priya,India,Haryana,Female,1997-12-20,2025-05-29,Y,68.0,3.0
0854-AITDW,2022-03-07,Organic,2022-04-06,Standard,Monthly,,,15.7,1137.0,61,0,Ishita,India,Uttar Pradesh,Female,2004-06-25,,,,
2412-MFMLA,2025-06-24,Paid,2025-07-24,Basic,Monthly,,,6.38,555.0,19,0,Pooja,India,West Bengal,Male,1977-08-11,2023-12-09,N,81.0,2.0
5687-UYIWW,2022-08-05,Paid,2022-09-04,Standard,Monthly,,,13.74,934.0,63,0,Priya,India,Maharashtra,Male,1996-02-09,2025-05-09,Y,62.0,1.0
9883-JWOBH,2022-02-17,Organic,2022-03-19,Basic,Monthly,2025-06-20,Too Expensive,6.64,596.0,24,1,Karan,India,Uttar Pradesh,Male,2002-11-19,2026-07-18,Y,28.0,2.0
6727-ELUDM,2022-01-20,Paid,2023-01-20,Premium,Annual,,,24.3,1476.0,72,0,Vivaan,India,Delhi,Male,1987-05-14,2024-01-22,N,19.0,1.0
2167-NGZBZ,2025-12-13,Organic,2026-12-13,Premium,Annual,,,25.37,1245.0,47,0,Riya,India,Tamil Nadu,Female,2006-05-15,,,,
7922-WWEYP,2022-04-26,Refferal,2022-05-26,Premium,Monthly,2022-04-21,Service Quality,19.97,1890.0,93,1,Sanjay,India,Kerala,Male,1989-02-04,2024-07-17,N,7.0,2.0
9621-WPJDC,2022-08-22,Paid,2023-08-22,Basic,Annual,2023-07-10,Too Expensive,9.99,686.0,17,1,Vivaan,India,Punjab,Female,2010-08-19,,,,
3911-VNMGO,2021-01-03,Organic,2021-02-02,Standard,Monthly,,,16.58,572.0,73,0,Ananya,India,Karnataka,Female,1971-03-30,2023-02-06,Y,77.0,1.0
6388-ZSPXL,2024-01-23,Organic,2025-01-22,Premium,Annual,,,23.25,1426.0,55,0,Meera,India,Haryana,Male,1991-06-26,2026-01-10,Y,69.0,2.0
9350-JDKDD,2023-05-08,Referral,2024-05-07,Standard,Annual,,,13.69,655.0,41,0,Meera,India,Tamil Nadu,Female,1977-07-11,2025-10-11,N,40.0,2.0
8814-UFVBH,2021-05-21,Referral,2021-06-20,Basic,Monthly,2021-05-29,Too Expensive,8.54,403.0,3,1,Aditya,India,Maharashtra,Female,1974-03-07,2025-04-20,N,59.0,1.0
7067-HSWBA,2024-04-29,Paid,2025-04-29,Basic,Annual,,,6.93,170.0,36,0,Ishita,Nepal,Kathmandu,Male,1992-08-04,2026-07-02,Y,63.0,5.0
9400-NNMLR,2024-10-08,Paid,2024-11-07,Standard,Monthly,,,12.55,465.0,79,0,Karan,India,Uttar Pradesh,Male,1979-05-30,2026-04-04,N,81.0,3.0
5806-EQRCJ,2026-06-07,Organic,2026-07-07,Standard,Monthly,2026-07-14,Not Enough Content,15.8,1100.0,49,1,Rohan,India,Gujarat,Male,1982-05-21,2024-03-02,Y,17.0,2.0
7909-QDBPM,2024-06-12,Referral,2025-06-12,Standard,Annual,,,13.99,,60,0,Amit,India,West Bengal,Male,2000-07-26,2026-01-12,N,30.0,2.0
9610-NYFLD,2023-03-29,Refferal,2024-03-28,Premium,Annual,,,22.89,1433.0,74,0,Neha,India,Haryana,Male,2009-04-24,2025-03-29,N,35.0,2.0
5751-EMIEC,2025-12-26,Organic,2026-12-26,,Annual,2026-06-01,Too Expensive,24.39,1291.0,3,1,Ishita,India,Tamil Nadu,Female,1981-08-02,,,,
5131-YFKFV,2025-08-29,,2026-08-29,Premium,Annual,,,23.16,1267.0,84,0,Rahul,India,Punjab,Female,1995-02-06,2025-04-19,N,11.0,1.0
4162-ZGCPQ,2023-01-20,Paid,2024-01-20,Premium,Annual,,,22.99,1312.0,99,0,Vivaan,India,Delhi,Male,1982-11-07,2024-06-29,N,56.0,1.0
9906-WWQJL,2021-07-13,Paid,2022-07-13,Basic,Annual,,,6.09,344.0,32,0,Pooja,India,Haryana,Male,1984-03-03,2026-07-10,N,10.0,2.0
1358-LJAFN,2022-07-18,Paid,2023-07-18,Basic,Annual,,,5.74,271.0,87,0,Kavya,India,Nagaland,Male,2001-11-05,,,,
3708-ZMYRB,2023-09-08,Organic,2023-10-08,Premium,Monthly,,,22.83,,71,0,Meera,India,Maharashtra,Female,1978-10-22,2025-03-10,Y,62.0,2.0
2053-SOHNX,2025-09-29,Organic,2025-10-29,Standard,Monthly,2026-07-27,Poor Support,14.99,441.0,42,1,Riya,India,Tamil Nadu,Female,2002-10-29,,,,
3901-BIYTV,2024-12-07,Referral,2025-01-06,Standard,Monthly,,,15.92,1064.0,21,0,Riya,India,Delhi,Male,1994-11-30,2026-04-14,N,28.0,2.0
9117-DHBAV,2024-08-08,Paid,2024-09-07,Basic,Monthly,,,7.86,94.0,30,0,Aditya,India,Nagaland,Female,1995-11-27,,,,
9370-ESNBX,2024-07-03,Paid,2025-07-03,Basic,Annual,2026-06-30,Service Quality,7.68,183.0,59,1,Ishita,India,Uttar Pradesh,Male,1986-01-22,2024-08-30,N,20.0,1.0
8714-OSKUL,2022-08-05,Organic,2022-09-04,Premium,Monthly,2024-02-17,Poor Support,24.24,,47,1,Vivaan,Nepal,Kathmandu,Male,1992-06-01,2025-01-21,N,48.0,1.0
9891-BEZHI,2023-01-10,Organic,2023-02-09,Premium,Monthly,2025-01-31,Switched To Competitor,23.96,1237.0,25,1,Vikram,India,Nagaland,Female,1998-07-18,2025-08-28,Y,22.0,2.0
7916-ENHFZ,2022-08-06,Paid,2022-09-05,Premium,Monthly,,,21.05,1489.0,44,0,Riya,India,West Bengal,Female,2003-08-07,2026-04-12,N,20.0,2.0
2017-CRWDS,2022-10-17,Paid,2023-10-17,Basic,Annual,,,6.27,181.0,49,0,Aditya,India,Maharashtra,Male,1979-07-22,2025-10-04,N,61.0,3.0
5418-VDZQV,2021-07-25,Organic,2021-08-24,Standard,Monthly,,,9.63,349.0,99,0,Amit,India,Haryana,Female,1974-05-07,2026-03-03,N,32.0,2.0
3634-YQDXU,2025-07-02,Organic,2026-07-02,Standard,Annual,,,14.26,619.0,21,0,Kavya,India,Rajasthan,Female,2006-10-03,2026-06-25,Y,19.0,1.0
3018-OKOZX,2023-10-26,Referral,2023-11-25,Basic,Monthly,2025-10-09,Poor Support,5.58,826.0,32,1,Aarav,India,Delhi,Male,1985-07-01,2026-01-23,N,44.0,1.0
2174-ZLSTM,2021-07-07,Organic,2022-07-07,Basic,Annual,,,7.34,466.0,11,0,Kavya,India,Tamil Nadu,Female,2005-09-24,2025-11-07,N,62.0,1.0
4579-LWKHJ,2021-11-14,Paid,2022-11-14,Standard,Annual,,,14.81,798.0,32,0,Pooja,India,Rajasthan,Male,1982-04-15,2026-05-06,N,43.0,5.0
1967-KCCSC,2023-10-05,Referral,2024-10-04,Basic,Annual,2024-05-25,Too Expensive,8.69,551.0,51,1,Meera,India,Punjab,Male,1976-08-24,2025-09-09,N,15.0,5.0
5691-USLFY,2023-02-28,Organic,2024-02-28,Premium,Annual,,,22.47,1006.0,92,0,Rohan,India,Haryana,Female,1980-01-28,2023-10-11,N,90.0,1.0
8354-PCAIE,2024-08-11,Paid,2025-08-11,Basic,Annual,,,7.76,496.0,64,0,Karan,India,Tamil Nadu,Female,2003-03-31,2023-05-21,N,69.0,1.0
8606-FHZVF,2025-08-16,Organic,2026-08-16,Premium,Annual,,,21.43,,8,0,Aditya,India,Meghalaya,Female,1996-12-25,2025-08-16,N,17.0,2.0
3849-NRYWZ,2025-12-18,Organic,2026-01-17,Basic,Monthly,2026-03-19,Not Enough Content,8.22,221.0,22,1,Aditya,India,Kerala,Female,1987-07-11,2025-10-20,Y,100.0,1.0
0429-GOBJD,2023-08-22,Organic,2023-09-21,Standard,Monthly,,,14.2,754.0,100,0,Rahul,India,Nagaland,Female,1991-08-24,2026-06-07,N,5.0,1.0
9329-BDFDO,2021-12-09,Referral,2022-01-08,Premium,Monthly,,,27.04,1290.0,65,0,Rohan,India,Tamil Nadu,Female,1982-02-21,2025-12-08,Y,64.0,3.0
3658-XGNRQ,2022-06-14,Organic,2022-07-14,Basic,Monthly,,,7.23,255.0,58,0,Sneha,India,Meghalaya,Male,2006-10-18,2026-01-13,N,16.0,2.0
7967-FNUWQ,2024-06-18,Organic,2024-07-18,Basic,Monthly,2024-07-29,Poor Support,6.42,20.0,92,1,Vikram,India,West Bengal,Male,1999-10-10,2026-02-16,Y,55.0,3.0
6526-WQYDJ,2023-09-26,Organic,2023-10-26,Standard,Monthly,,,11.17,708.0,27,0,Arjun,India,Haryana,Male,2002-03-31,2025-05-03,N,17.0,2.0
1143-CMFKL,2021-07-03,Refferal,2021-08-02,Standard,Monthly,2022-01-25,Poor Support,14.07,539.0,55,1,Priya,India,Karnataka,Female,1997-02-03,2026-04-20,N,44.0,1.0
6217-YWJIU,2024-05-18,Referral,2025-05-18,Premium,Annual,,,23.42,1681.0,7,0,Rohan,Nepal,Kathmandu,Female,2008-06-28,2026-06-19,Y,9.0,4.0
1257-OKEQI,2024-08-08,Paid,2025-08-08,Standard,Annual,2026-04-27,Too Expensive,14.91,672.0,73,1,Sanjay,India,Telangana,Male,1988-12-28,,,,
1875-QEREL,2023-11-02,Organic,2024-11-01,Basic,Annual,,,6.62,659.0,37,0,Vikram,India,Gujarat,Female,1984-12-06,2023-06-29,N,9.0,2.0
8083-FTSXE,2026-06-23,Organic,2026-07-23,Standard,Monthly,,,11.58,697.0,80,0,Meera,India,Karnataka,Female,2008-12-02,2026-03-23,N,34.0,2.0
7157-YTEVC,2022-12-26,Refferal,2023-12-26,Basic,Annual,,,7.17,191.0,42,0,Ishita,India,Rajasthan,Female,1978-12-17,,,,
5897-MNNAN,2022-03-26,Organic,2022-04-25,Standard,Monthly,,,13.36,1040.0,52,0,Neha,India,Tamil Nadu,Female,1992-01-10,2024-09-28,N,52.0,2.0
9368-LHZCM,2023-07-17,Paid,2023-08-16,Standard,Monthly,,,16.3,807.0,56,0,Ananya,India,Kerala,Female,1994-10-05,2025-02-17,Y,22.0,2.0
5137-MXKZB,2023-02-26,Paid,2023-03-28,Basic,Monthly,2024-08-17,Too Expensive,8.02,61.0,22,1,Karan,India,Tamil Nadu,Female,2007-06-28,2024-12-23,N,34.0,1.0
7345-PGFSQ,2024-09-18,Paid,2025-09-18,Basic,Annual,,,6.23,177.0,97,0,Pooja,India,Gujarat,Female,1988-07-11,2024-01-29,N,31.0,2.0
6120-BPZAM,2025-05-18,Organic,2026-05-18,Basic,Annual,,,9.25,259.0,56,0,Amit,India,Karnataka,Male,1983-11-16,2024-12-24,N,37.0,1.0
4955-XHMSB,2026-04-24,Organic,2026-05-24,Standard,Monthly,2026-05-17,Service Quality,14.33,503.0,22,1,Karan,India,Rajasthan,Male,1999-03-21,2026-02-28,Y,32.0,2.0
8014-VSQTU,2026-03-21,Paid,2026-04-20,Standard,Monthly,2026-07-10,Service Quality,15.53,1158.0,85,1,Kavya,India,Meghalaya,Female,1980-09-03,2025-06-07,N,55.0,1.0
9035-LLQFW,2023-05-24,Paid,2023-06-23,Premium,Monthly,2023-05-15,Service Quality,26.87,1389.0,57,1,Aarav,India,Uttar Pradesh,Male,1993-01-13,2023-12-19,N,14.0,2.0
7709-QHJLR,2022-10-08,Paid,2022-11-07,Standard,Monthly,,,18.02,618.0,30,0,Arjun,India,Uttar Pradesh,Female,1984-05-12,2026-06-23,N,89.0,2.0
7784-RYYSJ,2021-12-20,Paid,2022-12-20,Basic,Annual,,,7.25,361.0,99,0,Riya,India,Delhi,Male,2002-12-21,2023-04-02,Y,21.0,1.0
5999-LQVJN,2026-05-17,Organic,2026-06-16,Standard,Monthly,,,13.12,813.0,32,0,Neha,India,Tamil Nadu,Female,2000-06-24,2026-03-17,Y,20.0,2.0
0479-TMLNF,2024-03-17,Paid,2025-03-17,Premium,Annual,2026-08-22,Not Enough Content,22.58,1692.0,34,1,Neha,India,Tamil Nadu,Female,1983-12-01,2025-02-23,N,76.0,2.0
5988-TJDKF,2023-06-28,Refferal,2024-06-27,Premium,Annual,,,21.0,1778.0,99,0,Riya,India,Tamil Nadu,Female,1997-07-09,2025-04-21,Y,92.0,2.0
3754-QCTFX,2026-02-16,Paid,2026-03-18,Standard,Monthly,,,10.71,1133.0,91,0,Nisha,India,Gujarat,Male,1991-03-23,2024-06-09,N,48.0,2.0
7330-HOCCY,2025-04-16,Organic,2025-05-16,Basic,Monthly,,,5.97,296.0,2,0,Nisha,India,Uttar Pradesh,Female,1987-09-10,2026-07-02,N,48.0,2.0
8028-EHFKH,2023-07-31,Referral,2024-07-30,Standard,Annual,,,13.94,411.0,5,0,Sanjay,India,Uttar Pradesh,Male,1979-12-17,2024-02-02,N,84.0,2.0
3296-NEWST,2023-08-01,Referral,2023-08-31,Standard,Monthly,,,11.49,939.0,40,0,Karan,India,Rajasthan,Male,1990-04-10,,,,
1714-SVETJ,2021-10-28,Paid,2022-10-28,Premium,Annual,2023-07-23,Forgot To Cancel Trial,18.73,1749.0,79,1,Ananya,India,West Bengal,Male,2010-11-12,2024-09-21,N,22.0,2.0
7880-MUDKH,2022-02-14,Organic,2022-03-16,Basic,Monthly,2024-08-26,Poor Support,7.48,459.0,43,1,Karan,India,Rajasthan,Female,1991-04-18,2026-05-24,Y,69.0,1.0
2501-IJDSO,2023-05-06,Organic,2024-05-05,Standard,Annual,,,14.74,710.0,53,0,Vivaan,India,Telangana,Female,2009-08-13,2024-06-10,Y,40.0,2.0
8295-SDBKM,2026-07-24,Paid,2027-07-24,Standard,Annual,,,11.36,692.0,27,0,Sneha,India,Punjab,Male,1995-02-03,2026-01-18,N,84.0,2.0
2420-UPTCV,2025-02-08,Organic,2026-02-08,Basic,Annual,,,7.95,20.0,100,0,Vivaan,India,Karnataka,Male,1985-03-09,2024-11-02,N,14.0,1.0
2079-LLVHG,2024-06-12,Paid,2025-06-12,Basic,Annual,,,8.35,20.0,71,0,Pooja,India,Nagaland,Male,2005-10-23,2026-02-01,N,77.0,4.0
3411-JEEGM,2025-08-29,Paid,2026-08-29,Standard,Annual,,,13.39,1070.0,51,0,Rahul,India,Delhi,Female,1978-11-08,2026-06-16,Y,22.0,1.0
3448-KSGXT,2021-11-27,Organic,2021-12-27,Standard,Monthly,,,12.35,866.0,98,0,Neha,India,Maharashtra,Male,1987-01-11,2024-03-23,N,41.0,2.0
1766-IEHJD,2023-12-22,Organic,2024-12-21,Premium,Annual,,,27.25,1340.0,52,0,Vikram,India,Rajasthan,Male,1979-02-10,,,,
0167-LSHWJ,2025-03-15,Paid,2026-03-15,Premium,Annual,2025-06-15,Switched To Competitor,22.4,1660.0,57,1,Karan,India,Meghalaya,Female,1987-02-28,2023-01-01,N,25.0,1.0
9009-GOTBY,2023-05-25,Organic,2024-05-24,Basic,Annual,,,7.86,20.0,64,0,Karan,India,Karnataka,Female,2005-10-22,2026-01-08,N,36.0,2.0
3664-MQQAW,2022-06-14,Refferal,2023-06-14,Basic,Annual,,,8.29,597.0,94,0,Sneha,India,Kerala,Male,1973-05-28,2024-08-11,N,69.0,2.0
6244-ZMPLX,2024-12-02,Paid,2025-01-01,Basic,Monthly,,,7.71,589.0,35,0,Rohan,India,Delhi,Male,1996-12-29,2026-07-12,N,82.0,1.0
8327-XNUJL,2022-08-21,Paid,2022-09-20,Standard,Monthly,2025-08-01,Poor Streaming Quality,13.86,848.0,77,1,Priya,India,Karnataka,Female,1982-10-14,,,,
7607-CSAPM,2021-05-30,Organic,2022-05-30,Standard,Annual,,,13.96,1053.0,14,0,Vikram,India,Telangana,Female,2005-08-11,2024-07-16,N,86.0,2.0
4699-MMKLO,2026-07-28,Organic,2026-08-27,Premium,Monthly,,,21.79,1632.0,66,0,Pooja,India,Haryana,Male,1997-11-06,,,,
7639-OQVZC,2022-01-24,Paid,2023-01-24,Premium,Annual,,,22.59,1221.0,34,0,Pooja,India,Meghalaya,Male,1972-02-18,2024-06-04,N,42.0,2.0
7135-FFUBW,2021-12-09,Referral,2022-01-08,Standard,Monthly,,,16.22,561.0,80,0,Vikram,India,Gujarat,Female,2005-04-13,2026-04-15,N,75.0,3.0
7710-ZRWDX,2025-02-17,Paid,2025-03-19,Standard,Monthly,,,15.1,581.0,57,0,Riya,India,Punjab,Female,2005-08-17,2024-08-14,N,12.0,2.0
1623-IDKTG,2025-06-26,Refferal,2026-06-26,Premium,Annual,2026-08-16,Switched To Competitor,21.28,1516.0,41,1,Amit,India,Tamil Nadu,Male,1987-08-09,2026-04-02,N,38.0,2.0
8225-PQYLI,2022-03-18,Organic,2022-04-17,Premium,Monthly,2023-09-05,Poor Support,24.18,,66,1,Aditya,India,Gujarat,Female,1974-05-21,2026-02-12,N,99.0,3.0
9944-OPHFE,2024-02-06,Organic,2025-02-05,Standard,Annual,,,13.41,1236.0,83,0,Sanjay,Nepal,Kathmandu,Female,1976-10-23,2024-10-23,Y,27.0,2.0
2254-FTBQY,2023-11-06,Referral,2024-11-05,Premium,Annual,,,21.35,1385.0,48,0,Vikram,India,West Bengal,Female,2006-12-29,,,,
7660-KBVAR,2022-05-21,Organic,2022-06-20,Basic,Monthly,,,8.51,716.0,80,0,Aarav,India,Delhi,Male,2009-03-14,2026-06-26,N,56.0,3.0
6716-ETEFV,2021-11-26,Referral,2021-12-26,Standard,Monthly,,,12.28,625.0,34,0,Ananya,India,Delhi,Male,1973-06-24,2025-12-18,N,86.0,2.0
9790-GXXUD,2025-08-25,Organic,2025-09-24,,Monthly,2026-08-03,Poor Support,12.98,960.0,91,1,Riya,India,Uttar Pradesh,Female,1977-06-19,2025-10-26,N,70.0,1.0
3010-RZVKG,2022-12-29,Paid,2023-12-29,Standard,Annual,,,14.44,630.0,21,0,Vivaan,India,Gujarat,Female,2005-05-22,2023-06-25,N,27.0,1.0
9603-HIZOG,2024-01-10,Organic,2024-02-09,Standard,Monthly,2024-09-23,Switched To Competitor,9.83,960.0,36,1,Vivaan,India,Tamil Nadu,Female,1983-06-05,2025-11-13,Y,24.0,1.0
0077-LZLSG,2021-02-18,Organic,2021-03-20,Standard,Monthly,2024-05-13,Not Enough Content,11.57,1091.0,10,1,Amit,India,Gujarat,Male,1975-11-01,2026-03-24,N,63.0,1.0
7760-UPUPJ,2024-11-06,Paid,2024-12-06,Standard,Monthly,2025-03-06,Forgot To Cancel Trial,13.98,682.0,65,1,Ishita,India,Nagaland,Male,1974-06-27,2023-05-29,N,64.0,1.0
7384-VVFRA,2025-09-27,Paid,2025-10-27,Basic,Monthly,,,6.02,244.0,89,0,Aarav,India,Rajasthan,Male,1979-06-17,2025-06-27,N,6.0,2.0
5729-OJZWB,2024-05-18,Organic,2025-05-18,Basic,Annual,2024-07-18,Poor Support,6.9,20.0,67,1,Ishita,India,Kerala,Male,2007-03-15,2025-12-12,Y,53.0,2.0
2107-FXNSV,2021-11-21,Refferal,2021-12-21,Premium,Monthly,,,22.74,1143.0,21,0,Nisha,India,Tamil Nadu,Male,1977-09-29,2025-05-10,Y,7.0,2.0
7681-CDKIT,2024-01-22,Organic,2024-02-21,Standard,Monthly,2025-02-25,Poor Streaming Quality,13.13,837.0,50,1,Aarav,India,Uttar Pradesh,Male,2003-12-28,2024-05-03,N,40.0,1.0
1582-JGEEF,2025-09-02,Paid,2025-10-02,Basic,Monthly,,,6.59,344.0,68,0,Ishita,India,Delhi,Male,1999-11-21,2026-07-02,N,29.0,3.0
5653-KLMTW,2021-09-25,Paid,2021-10-25,Basic,Monthly,,,7.38,631.0,81,0,Ishita,India,Punjab,Female,2003-01-16,2025-04-25,N,8.0,2.0
5275-QTRDZ,2025-01-10,Organic,2026-01-10,Basic,Annual,,,11.39,339.0,80,0,Nisha,India,Tamil Nadu,Female,1987-06-21,2023-12-19,N,100.0,1.0
1667-KQKGY,2022-09-06,Paid,2023-09-06,Basic,Annual,2023-08-23,Not Enough Content,5.71,323.0,21,1,Riya,India,Delhi,Female,1979-05-03,2023-11-20,Y,68.0,1.0
0737-GZSCT,2025-07-15,Paid,2025-08-14,Standard,Monthly,,,14.58,1001.0,21,0,Meera,India,Telangana,Female,1972-09-16,2024-05-26,N,57.0,4.0
9694-CKMDF,2024-01-01,Organic,2024-01-31,Standard,Monthly,2025-09-01,Service Quality,14.01,831.0,61,1,Neha,India,Uttar Pradesh,Male,1979-01-23,2025-08-13,N,8.0,2.0
1757-EKMGH,2026-06-17,Paid,2027-06-17,Standard,Annual,,,11.8,880.0,80,0,Arjun,India,Tamil Nadu,Female,1997-02-19,2026-07-18,N,10.0,2.0
1941-UFXOU,2021-10-24,Paid,2021-11-23,Standard,Monthly,2022-02-21,Poor Streaming Quality,13.96,619.0,12,1,Riya,India,Maharashtra,Male,1970-09-08,2026-05-01,Y,21.0,2.0
6372-GPHDG,2026-03-02,Organic,2026-04-01,Basic,Monthly,,,6.33,566.0,54,0,Vikram,India,Punjab,Female,2000-03-16,,,,
2773-DAYNK,2025-08-25,Organic,2025-09-24,Premium,Monthly,,,20.23,1512.0,2,0,Sanjay,India,Rajasthan,Female,1974-11-10,2026-04-23,Y,81.0,2.0
9300-FKWQK,2025-11-21,Paid,2025-12-21,Standard,Monthly,,,8.32,849.0,52,0,Nisha,India,Tamil Nadu,Female,2003-05-06,2025-01-24,N,99.0,2.0
2575-ACEUQ,2026-04-29,Referral,2026-05-29,Basic,Monthly,,,6.79,58.0,10,0,Pooja,India,Gujarat,Male,1982-10-31,2025-12-24,Y,79.0,2.0
4347-UEFKX,2022-10-02,Organic,2023-10-02,Basic,Annual,2023-02-09,Service Quality,6.52,20.0,12,1,Nisha,India,Rajasthan,Female,2006-06-09,2025-07-09,N,25.0,1.0
6150-WGWBF,2022-10-02,Paid,2023-10-02,Standard,Annual,,,11.53,966.0,24,0,Kavya,India,Telangana,Male,1985-04-04,2023-05-29,N,51.0,1.0
5241-BWWOH,2025-12-06,Organic,2026-01-05,Basic,Monthly,,,5.07,662.0,42,0,Nisha,India,Delhi,Male,1973-12-18,2025-03-17,Y,66.0,1.0
1011-QNTPD,2023-06-26,Organic,2023-07-26,Basic,Monthly,,,7.16,117.0,68,0,Ishita,India,Nagaland,Male,1997-09-07,,,,
1238-UEYCS,2022-12-26,Referral,2023-12-26,Standard,Annual,,,11.6,1134.0,57,0,Arjun,India,Uttar Pradesh,Female,1972-03-27,2023-12-14,N,12.0,2.0
9751-LBWEN,2022-06-30,Organic,2022-07-30,,Monthly,,,,1017.0,52,0,Rohan,India,Punjab,Female,1988-01-09,2025-12-30,Y,84.0,2.0
9844-TBVET,2024-10-29,Organic,2025-10-29,Basic,Annual,2025-12-15,Too Expensive,4.99,85.0,67,1,Meera,India,Karnataka,Female,2002-07-21,2025-09-14,N,55.0,4.0
6218-HLDZG,2021-09-12,Organic,2021-10-12,Premium,Monthly,,,23.53,1426.0,13,0,Vikram,India,Punjab,Male,2003-09-30,2026-04-20,Y,97.0,2.0
3103-NRNNP,2024-01-19,Paid,2025-01-18,Basic,Annual,,,6.82,560.0,71,0,Vivaan,India,Telangana,Female,1980-04-11,2026-02-18,Y,8.0,2.0
8579-KVUYX,2024-02-13,Paid,2025-02-12,Standard,Annual,,,10.56,896.0,87,0,Kavya,India,Meghalaya,Female,1979-11-11,2025-09-27,N,43.0,1.0
7985-GUTHR,2026-04-15,Paid,2027-04-15,Premium,Annual,,,24.77,1373.0,92,0,Vivaan,India,Tamil Nadu,Female,1979-06-03,2026-04-09,Y,10.0,2.0
2547-NUEIU,2022-04-05,Paid,2022-05-05,Standard,Monthly,2026-08-30,Poor Streaming Quality,13.55,740.0,26,1,Vivaan,India,Gujarat,Female,1993-01-09,,,,
4550-YASVX,2025-02-07,Paid,2026-02-07,Standard,Annual,,,11.35,917.0,89,0,Rohan,India,Gujarat,Female,1972-07-18,2023-05-05,N,38.0,3.0
1587-ZKJJQ,2024-09-21,Organic,2025-09-21,Standard,Annual,2024-09-02,Too Expensive,14.19,1033.0,77,1,Kavya,India,Nagaland,Male,1972-01-16,2026-04-17,Y,87.0,1.0
6600-MBZFC,2025-08-09,Organic,2025-09-08,Standard,Monthly,,,13.36,735.0,26,0,Vikram,India,Delhi,Male,2009-05-12,,,,
5982-KQWCH,2022-06-20,Organic,2023-06-20,Basic,Annual,2024-10-06,Forgot To Cancel Trial,7.6,916.0,39,1,Vikram,India,Tamil Nadu,Male,1975-07-10,2023-09-01,N,83.0,2.0
5176-UPJPZ,2023-12-06,Refferal,2024-12-05,Standard,Annual,,,15.38,213.0,53,0,Sneha,India,Tamil Nadu,Female,1973-10-07,2025-09-14,Y,73.0,2.0
4812-WUHGU,2024-10-16,Organic,2024-11-15,Standard,Monthly,,,15.63,821.0,52,0,Kavya,India,Gujarat,Female,2005-06-07,2023-12-27,N,12.0,1.0
2093-IGPHR,2026-07-17,Organic,2027-07-17,Premium,Annual,2026-08-15,Switched To Competitor,21.49,1749.0,33,1,Ananya,India,Punjab,Female,1987-10-30,2023-08-12,Y,26.0,1.0
9349-VYALF,2022-02-03,Paid,2022-03-05,Basic,Monthly,,,10.47,137.0,67,0,Priya,India,Kerala,Female,1976-09-19,2026-01-07,N,67.0,3.0
9179-SIOPM,2021-09-12,Paid,2021-10-12,Premium,Monthly,2024-05-26,Not Enough Content,21.19,1371.0,12,1,Ananya,India,Haryana,Female,1999-12-14,,,,
4755-BLJVW,2024-10-11,Refferal,2024-11-10,Basic,Monthly,,,5.7,613.0,68,0,Nisha,India,Nagaland,Female,1990-07-17,2023-09-23,N,55.0,2.0
7509-AVKKY,2021-02-22,Organic,2021-03-24,Standard,Monthly,,,16.2,459.0,58,0,Sanjay,India,Delhi,Male,2001-11-03,2025-09-11,N,12.0,3.0
8675-BJTOG,2025-09-05,Organic,2025-10-05,Premium,Monthly,2026-03-31,Too Expensive,23.39,1857.0,7,1,Aarav,India,Uttar Pradesh,Male,1970-06-12,2024-10-30,N,100.0,2.0
5258-WFTTX,2023-07-19,Paid,2023-08-18,Standard,Monthly,2023-11-23,Not Enough Content,13.06,539.0,16,1,Pooja,India,Haryana,Male,1993-01-13,2025-03-06,Y,39.0,1.0
